monthly_income_estimate,food_pct,groceries_pct,transport_pct,shopping_pct,entertainment_pct,utilities_pct,healthcare_pct,investments_pct,fuel_pct,savings_rate,spend_volatility_normalised
20618.1,0.261,0.1296,0.0856,0.0395,0.0143,0.1803,0.0468,0.005,0.005,0.2329,0.277
19368.44,0.269,0.1294,0.0618,0.0455,0.0207,0.1076,0.1286,0.005,0.0291,0.2032,0.2267
24113.17,0.302,0.1484,0.0858,0.0468,0.0147,0.1309,0.0291,0.0099,0.0354,0.1969,0.2434
24937.83,0.3667,0.0612,0.0534,0.0534,0.0188,0.1559,0.0995,0.007,0.0104,0.1735,0.1768
27431.06,0.2423,0.0936,0.0574,0.0678,0.0289,0.154,0.0933,0.0175,0.0359,0.2093,0.1826
16738.04,0.3765,0.1493,0.0704,0.0261,0.0281,0.1444,0.0257,0.0236,0.0386,0.1173,0.2802
16793.91,0.3644,0.1225,0.0936,0.0269,0.0136,0.1364,0.1745,0.008,0.0099,0.05,0.2825
22628.56,0.3324,0.1307,0.1096,0.04,0.0292,0.1345,0.0377,0.0133,0.0294,0.1434,0.2508
28388.38,0.4597,0.1253,0.0738,0.0426,0.0327,0.1702,0.0597,0.0071,0.005,0.0238,0.2407
18331.62,0.3226,0.0959,0.0768,0.0535,0.0226,0.1621,0.1454,0.0093,0.005,0.1068,0.2184
19272.61,0.3582,0.107,0.0668,0.0448,0.0143,0.1501,0.0891,0.0058,0.0468,0.1171,0.2196
18630.83,0.4077,0.1317,0.0885,0.0203,0.0239,0.1133,0.1165,0.0295,0.0186,0.05,0.186
15611.63,0.4376,0.1315,0.0721,0.023,0.0228,0.1251,0.0863,0.0045,0.0471,0.05,0.2103
17062.81,0.2873,0.1103,0.0963,0.0761,0.005,0.1131,0.0791,0.0118,0.0452,0.1757,0.2669
20085.45,0.4066,0.0842,0.0827,0.06,0.0195,0.1671,0.0708,0.0045,0.0546,0.05,0.2995
18364.04,0.272,0.1436,0.1032,0.0583,0.0282,0.1254,0.1085,0.029,0.0351,0.0967,0.1748
18978.04,0.3728,0.1001,0.0924,0.046,0.0053,0.1474,0.1591,0.0086,0.0184,0.05,0.2786
15364.74,0.2643,0.1345,0.0755,0.0485,0.0115,0.1714,0.0889,0.005,0.0311,0.1692,0.2714
17542.39,0.3728,0.1125,0.0849,0.031,0.028,0.1859,0.0726,0.0096,0.0526,0.05,0.284
25537.26,0.2398,0.0919,0.0903,0.1271,0.0257,0.1654,0.0906,0.0214,0.0591,0.0888,0.2591
28350.08,0.2578,0.075,0.0833,0.0393,0.005,0.1243,0.0684,0.0136,0.0317,0.3016,0.2248
15560.22,0.3122,0.1527,0.0813,0.0636,0.0127,0.1177,0.0414,0.0122,0.0409,0.1654,0.1809
23109.53,0.4186,0.1321,0.0732,0.0341,0.0142,0.1489,0.102,0.0046,0.0224,0.05,0.3197
17599.41,0.312,0.1004,0.1153,0.0684,0.0412,0.1621,0.0196,0.0203,0.0096,0.1511,0.1909
20339.59,0.331,0.1762,0.0796,0.0479,0.005,0.122,0.0182,0.005,0.0709,0.1442,0.2994
15679.56,0.4653,0.0769,0.1033,0.0592,0.022,0.1503,0.0307,0.005,0.0414,0.0458,0.1969
29103.45,0.1982,0.1584,0.0677,0.0514,0.0244,0.2133,0.0975,0.0089,0.0303,0.1499,0.2325
19784.63,0.3029,0.1455,0.0871,0.0561,0.0281,0.1292,0.106,0.0163,0.0234,0.1053,0.1864
26259.22,0.207,0.0834,0.0666,0.0412,0.0159,0.1849,0.1321,0.0126,0.0402,0.2161,0.2759
27396.86,0.4046,0.1107,0.0865,0.0619,0.0118,0.1461,0.0739,0.0309,0.0199,0.0538,0.1471
25087.78,0.4117,0.14,0.066,0.0854,0.0169,0.1497,0.005,0.018,0.0523,0.0549,0.3015
16516.84,0.3696,0.1048,0.0706,0.0219,0.0128,0.157,0.0121,0.0079,0.0462,0.1972,0.3085
21363.33,0.3258,0.1199,0.0664,0.0654,0.0249,0.1486,0.1208,0.0109,0.0111,0.1062,0.1694
28028.99,0.3679,0.1204,0.082,0.06,0.0345,0.1268,0.071,0.0196,0.0831,0.0348,0.174
23764.71,0.3411,0.1493,0.0509,0.0229,0.0303,0.1735,0.0637,0.005,0.005,0.1582,0.2417
27206.93,0.2781,0.1348,0.0536,0.0406,0.005,0.2049,0.1172,0.0235,0.0377,0.1045,0.2943
21222.29,0.3413,0.1183,0.0852,0.0562,0.0169,0.1591,0.1306,0.005,0.0126,0.0747,0.2521
25075.51,0.2273,0.1583,0.0866,0.0523,0.0318,0.1275,0.132,0.0107,0.0812,0.0922,0.3253
28149.8,0.2684,0.1119,0.1098,0.0432,0.005,0.1763,0.0527,0.0244,0.0577,0.1506,0.2118
20223.83,0.4702,0.1222,0.1126,0.0489,0.0238,0.1086,0.005,0.0097,0.005,0.094,0.2147
