category,current_avg_monthly_spend,spend_vs_cluster_benchmark,spend_volatility_normalised,income_bracket_encoded,category_type,months_consistently_present,realistic_reduction_pct
food,5381.32,0.7859,0.277,0,0.5,7,0.1646
groceries,2672.11,1.1124,0.277,0,0.15,12,0.04
transport,1764.91,1.0822,0.277,0,0.4,9,0.1863
shopping,814.41,0.7948,0.277,0,0.9,9,0.1843
entertainment,294.84,0.7044,0.277,0,1.0,7,0.367
utilities,3717.44,1.2166,0.277,0,0.1,11,0.1093
healthcare,964.93,1.1613,0.277,0,0.05,11,0.0548
investments,103.09,0.3968,0.277,0,0.3,8,0.0467
fuel,103.09,0.1272,0.277,0,0.45,7,0.1637
food,5210.11,0.7577,0.2267,0,0.5,10,0.2033
groceries,2506.28,1.0865,0.2267,0,0.15,12,0.0441
transport,1196.97,0.7984,0.2267,0,0.4,7,0.1139
shopping,881.26,0.9286,0.2267,0,0.9,9,0.3607
entertainment,400.93,1.0248,0.2267,0,1.0,8,0.2695
utilities,2084.04,0.732,0.2267,0,0.1,12,0.014
healthcare,2490.78,1.3203,0.2267,0,0.05,10,0.0721
investments,96.84,0.3846,0.2267,0,0.3,11,0.019
fuel,563.62,0.7312,0.2267,0,0.45,9,0.1102
food,7282.18,0.9094,0.2434,0,0.5,9,0.1436
groceries,3578.39,1.2738,0.2434,0,0.15,12,0.0934
transport,2068.91,1.0847,0.2434,0,0.4,11,0.0883
shopping,1128.5,0.9416,0.2434,0,0.9,5,0.2765
entertainment,354.46,0.7241,0.2434,0,1.0,5,0.2558
utilities,3156.41,0.8833,0.2434,0,0.1,12,0.0724
healthcare,701.69,0.7221,0.2434,0,0.05,11,0.0
investments,238.72,0.7857,0.2434,0,0.3,10,0.0476
fuel,853.61,0.9008,0.2434,0,0.45,9,0.1837
food,9144.7,1.033,0.1768,0,0.5,9,0.0431
groceries,1526.2,0.5139,0.1768,0,0.15,12,0.0
transport,1331.68,0.6899,0.1768,0,0.4,8,0.0621
shopping,1331.68,1.0898,0.1768,0,0.9,9,0.226
entertainment,468.83,0.9307,0.1768,0,1.0,5,0.2654
utilities,3887.81,1.0605,0.1768,0,0.1,12,0.0164
healthcare,2481.31,1.0216,0.1768,0,0.05,11,0.0
investments,174.56,0.5385,0.1768,0,0.3,7,0.0227
fuel,259.35,0.2613,0.1768,0,0.45,7,0.0745
food,6646.55,0.6825,0.1826,0,0.5,11,0.2011
groceries,2567.55,0.7859,0.1826,0,0.15,10,0.0244
transport,1574.54,0.7416,0.1826,0,0.4,10,0.0981
shopping,1859.83,1.3837,0.1826,0,0.9,7,0.2287
entertainment,792.76,1.4307,0.1826,0,1.0,6,0.3605
utilities,4224.38,1.0476,0.1826,0,0.1,12,0.0489
healthcare,2559.32,0.9579,0.1826,0,0.05,10,0.0299
investments,480.04,1.3462,0.1826,0,0.3,10,0.0383
fuel,984.78,0.902,0.1826,0,0.45,7,0.1212
food,6301.87,1.1337,0.2802,0,0.5,9,0.202
groceries,2498.99,1.2815,0.2802,0,0.15,11,0.0799
transport,1178.36,0.89,0.2802,0,0.4,11,0.1454
shopping,436.86,0.5252,0.2802,0,0.9,4,0.2844
entertainment,470.34,1.3842,0.2802,0,1.0,7,0.3187
utilities,2416.97,0.9744,0.2802,0,0.1,10,0.0439
healthcare,430.17,0.6377,0.2802,0,0.05,11,0.0053
investments,395.02,1.873,0.2802,0,0.3,10,0.135
fuel,646.09,0.9822,0.2802,0,0.45,7,0.1479
food,6119.7,1.0265,0.2825,0,0.5,8,0.1984
groceries,2057.25,1.0285,0.2825,0,0.15,10,0.0657
transport,1571.91,1.2093,0.2825,0,0.4,8,0.214
shopping,451.76,0.549,0.2825,0,0.9,6,0.241
entertainment,228.4,0.6733,0.2825,0,1.0,8,0.2359
utilities,2290.69,0.9279,0.2825,0,0.1,10,0.0315
healthcare,2930.54,1.7916,0.2825,0,0.05,11,0.1388
investments,134.35,0.6154,0.2825,0,0.3,11,0.0
fuel,166.26,0.2487,0.2825,0,0.45,10,0.1292
food,7521.73,1.0009,0.2508,0,0.5,10,0.1923
groceries,2957.55,1.1219,0.2508,0,0.15,10,0.0745
transport,2480.09,1.3856,0.2508,0,0.4,7,0.1175
shopping,905.14,0.8048,0.2508,0,0.9,7,0.3669
entertainment,660.75,1.4384,0.2508,0,1.0,6,0.3167
utilities,3043.54,0.9076,0.2508,0,0.1,11,0.034
healthcare,853.1,0.9355,0.2508,0,0.05,10,0.0667
investments,300.96,1.0556,0.2508,0,0.3,9,0.0031
fuel,665.28,0.7481,0.2508,0,0.45,7,0.2532
food,13050.14,1.2949,0.2407,0,0.5,11,0.2712
groceries,3557.06,1.0521,0.2407,0,0.15,12,0.0405
transport,2095.06,0.9535,0.2407,0,0.4,8,0.1468
shopping,1209.34,0.8694,0.2407,0,0.9,7,0.3339
entertainment,928.3,1.6188,0.2407,0,1.0,4,0.3595
utilities,4831.7,1.1578,0.2407,0,0.1,12,0.0937
healthcare,1694.79,0.6129,0.2407,0,0.05,12,0.0073
investments,201.56,0.5462,0.2407,0,0.3,7,0.0511
fuel,141.94,0.1256,0.2407,0,0.45,8,0.151
food,5913.78,0.9087,0.2184,0,0.5,11,0.1173
groceries,1758.0,0.8052,0.2184,0,0.15,10,0.0
transport,1407.87,0.9922,0.2184,0,0.4,7,0.1349
shopping,980.74,1.0918,0.2184,0,0.9,8,0.2116
entertainment,414.29,1.1188,0.2184,0,1.0,7,0.3399
utilities,2971.56,1.1027,0.2184,0,0.1,12,0.0609
healthcare,2665.42,1.4928,0.2184,0,0.05,10,0.0596
investments,170.48,0.7154,0.2184,0,0.3,7,0.0698
fuel,91.66,0.1256,0.2184,0,0.45,9,0.1056
food,6903.45,1.009,0.2196,0,0.5,9,0.1677
groceries,2062.17,0.8984,0.2196,0,0.15,10,0.0373
transport,1287.41,0.863,0.2196,0,0.4,10,0.2719
shopping,863.41,0.9143,0.2196,0,0.9,6,0.3594
entertainment,275.6,0.7079,0.2196,0,1.0,6,0.3448
utilities,2892.82,1.0211,0.2196,0,0.1,11,0.0168
healthcare,1717.19,0.9148,0.2196,0,0.05,10,0.0309
investments,111.78,0.4462,0.2196,0,0.3,10,0.0218
fuel,901.96,1.1759,0.2196,0,0.45,7,0.1915
food,7595.79,1.1485,0.186,0,0.5,8,0.2234
groceries,2453.68,1.1058,0.186,0,0.15,11,0.0291
transport,1648.83,1.1434,0.186,0,0.4,8,0.3251
shopping,378.21,0.4143,0.186,0,0.9,9,0.3074
entertainment,445.28,1.1832,0.186,0,1.0,4,0.3703
utilities,2110.87,0.7707,0.186,0,0.1,12,0.0653
healthcare,2170.49,1.1961,0.186,0,0.05,10,0.0566
investments,549.61,2.2692,0.186,0,0.3,9,0.1148
fuel,346.53,0.4673,0.186,0,0.45,7,0.0923
food,6831.65,1.2327,0.2103,0,0.5,9,0.236
groceries,2052.93,1.1041,0.2103,0,0.15,11,0.0636
transport,1125.6,0.9315,0.2103,0,0.4,10,0.2156
shopping,359.07,0.4694,0.2103,0,0.9,9,0.2867
entertainment,355.95,1.1287,0.2103,0,1.0,5,0.3539
utilities,1953.01,0.851,0.2103,0,0.1,10,0.0072
healthcare,1347.28,0.886,0.2103,0,0.05,10,0.047
investments,70.25,0.3462,0.2103,0,0.3,11,0.0582
fuel,735.31,1.1834,0.2103,0,0.45,11,0.2651
food,4902.15,0.8651,0.2669,0,0.5,11,0.1982
groceries,1882.03,0.9468,0.2669,0,0.15,11,0.0287
transport,1643.15,1.2174,0.2669,0,0.4,10,0.2439
shopping,1298.48,1.5312,0.2669,0,0.9,9,0.3514
entertainment,85.31,0.2463,0.2669,0,1.0,6,0.224
utilities,1929.8,0.7632,0.2669,0,0.1,11,0.0782
healthcare,1349.67,1.9628,0.2669,0,0.05,11,0.1273
investments,201.34,0.9365,0.2669,0,0.3,10,0.0087
fuel,771.24,1.1501,0.2669,0,0.45,8,0.207
food,8166.74,1.1454,0.2995,0,0.5,10,0.2316
groceries,1691.19,0.707,0.2995,0,0.15,12,0.0786
transport,1661.07,1.0685,0.2995,0,0.4,9,0.1932
shopping,1205.13,1.2245,0.2995,0,0.9,7,0.3391
entertainment,391.67,0.9653,0.2995,0,1.0,5,0.24
utilities,3356.28,1.1367,0.2995,0,0.1,12,0.102
healthcare,1422.05,0.7269,0.2995,0,0.05,12,0.0805
investments,90.38,0.3462,0.2995,0,0.3,10,0.0
fuel,1096.67,1.3719,0.2995,0,0.45,10,0.2609
food,4995.02,0.7662,0.1748,0,0.5,7,0.155
groceries,2637.08,1.2057,0.1748,0,0.15,12,0.077
transport,1895.17,1.3333,0.1748,0,0.4,10,0.1717
shopping,1070.62,1.1898,0.1748,0,0.9,7,0.2631
entertainment,517.87,1.396,0.1748,0,1.0,7,0.2572
utilities,2302.85,0.8531,0.1748,0,0.1,12,0.0238
healthcare,1992.5,1.114,0.1748,0,0.05,11,0.0
investments,532.56,2.2308,0.1748,0,0.3,7,0.0588
fuel,644.58,0.8819,0.1748,0,0.45,11,0.0724
food,7075.01,1.0501,0.2786,0,0.5,10,0.2165
groceries,1899.7,0.8405,0.2786,0,0.15,11,0.0408
transport,1753.57,1.1938,0.2786,0,0.4,11,0.149
shopping,872.99,0.9388,0.2786,0,0.9,8,0.2391
entertainment,100.58,0.2624,0.2786,0,1.0,9,0.3408
utilities,2797.36,1.0027,0.2786,0,0.1,10,0.072
healthcare,3019.41,1.6335,0.2786,0,0.05,10,0.1506
investments,163.21,0.6615,0.2786,0,0.3,9,0.0353
fuel,349.2,0.4623,0.2786,0,0.45,10,0.2087
food,4060.9,0.7445,0.2714,0,0.5,11,0.156
groceries,2066.56,1.1293,0.2714,0,0.15,12,0.0886
transport,1160.04,0.9755,0.2714,0,0.4,10,0.1856
shopping,745.19,0.9898,0.2714,0,0.9,4,0.3138
entertainment,176.69,0.5693,0.2714,0,1.0,6,0.2519
utilities,2633.52,1.166,0.2714,0,0.1,10,0.1112
healthcare,1365.93,0.9127,0.2714,0,0.05,10,0.0
investments,76.82,0.3846,0.2714,0,0.3,7,0.0465
fuel,477.84,0.7814,0.2714,0,0.45,11,0.0994
food,6539.8,1.0501,0.284,0,0.5,10,0.2278
groceries,1973.52,0.9446,0.284,0,0.15,10,0.0305
transport,1489.35,1.0969,0.284,0,0.4,11,0.0999
shopping,543.81,0.6327,0.284,0,0.9,8,0.3046
entertainment,491.19,1.3861,0.284,0,1.0,4,0.1905
utilities,3261.13,1.2646,0.284,0,0.1,10,0.059
healthcare,1273.58,0.7454,0.284,0,0.05,10,0.0537
investments,168.41,0.7385,0.284,0,0.3,11,0.0599
fuel,922.73,1.3216,0.284,0,0.45,11,0.254
food,6123.83,0.6755,0.2591,0,0.5,10,0.0963
groceries,2346.87,0.7716,0.2591,0,0.15,11,0.0141
transport,2306.01,1.1667,0.2591,0,0.4,10,0.1163
shopping,3245.79,2.5939,0.2591,0,0.9,4,0.4242
entertainment,656.31,1.2723,0.2591,0,1.0,5,0.3915
utilities,4223.86,1.1252,0.2591,0,0.1,11,0.095
healthcare,2313.68,0.9302,0.2591,0,0.05,10,0.0061
investments,546.5,1.6462,0.2591,0,0.3,9,0.0731
fuel,1509.25,1.4849,0.2591,0,0.45,7,0.2606
food,7308.65,0.7763,0.2248,0,0.5,9,0.1837
groceries,2126.26,0.6438,0.2248,0,0.15,12,0.068
transport,2361.56,1.0531,0.2248,0,0.4,9,0.1934
shopping,1114.16,0.7907,0.2248,0,0.9,5,0.3377
entertainment,141.75,0.2463,0.2248,0,1.0,4,0.2904
utilities,3523.91,0.8387,0.2248,0,0.1,10,0.0869
healthcare,1939.15,1.6973,0.2248,0,0.05,12,0.1264
investments,385.56,1.0794,0.2248,0,0.3,7,0.0433
fuel,898.7,0.8066,0.2248,0,0.45,9,0.1209
food,4857.9,0.9401,0.1809,0,0.5,10,0.0608
groceries,2376.05,1.3107,0.1809,0,0.15,11,0.0352
transport,1265.05,1.0278,0.1809,0,0.4,8,0.1788
shopping,989.63,1.2797,0.1809,0,0.9,4,0.333
entertainment,197.61,0.6256,0.1809,0,1.0,7,0.3142
utilities,1831.44,0.7942,0.1809,0,0.1,11,0.0717
healthcare,644.19,1.0273,0.1809,0,0.05,10,0.0352
investments,189.83,0.9683,0.1809,0,0.3,9,0.0708
fuel,636.41,1.0407,0.1809,0,0.45,8,0.2275
food,9673.65,1.1792,0.3197,0,0.5,11,0.1886
groceries,3052.77,1.1092,0.3197,0,0.15,11,0.0407
transport,1691.62,0.9457,0.3197,0,0.4,8,0.114
shopping,788.03,0.6959,0.3197,0,0.9,6,0.3576
entertainment,328.16,0.703,0.3197,0,1.0,4,0.2391
utilities,3441.01,1.0129,0.3197,0,0.1,10,0.0
healthcare,2357.17,1.0472,0.3197,0,0.05,12,0.0105
investments,106.3,0.3538,0.3197,0,0.3,7,0.0574
