user_idx,category,estimated_monthly_saving,spend_vs_benchmark_ratio,category_acceptance_rate,user_has_reduced_before,goal_months_remaining,gap_to_goal,category_priority_rank,category_type,relevance
0,food,854.81,0.7859,0.45,0,6,13728.73,1,0.5,0
0,groceries,219.73,1.1124,0.3,0,6,13728.73,3,0.15,0
0,transport,244.73,1.0822,0.35,0,6,13728.73,4,0.4,0
0,shopping,220.19,0.7948,0.6,0,6,13728.73,6,0.9,1
0,entertainment,82.22,0.7044,0.65,1,6,13728.73,7,1.0,2
0,utilities,266.46,1.2166,0.25,0,6,13728.73,2,0.1,0
0,healthcare,68.42,1.1613,0.15,0,6,13728.73,5,0.05,0
0,investments,4.36,0.3968,0.2,0,6,13728.73,8,0.3,0
0,fuel,16.81,0.1272,0.4,1,6,13728.73,8,0.45,1
1,food,820.86,0.7577,0.45,1,12,176.24,1,0.5,1
1,groceries,99.82,1.0865,0.3,0,12,176.24,2,0.15,0
1,transport,188.43,0.7984,0.35,0,12,176.24,5,0.4,0
1,shopping,253.95,0.9286,0.6,1,12,176.24,6,0.9,2
1,entertainment,112.71,1.0248,0.65,0,12,176.24,8,1.0,1
1,utilities,84.97,0.732,0.25,0,12,176.24,4,0.1,0
1,healthcare,173.97,1.3203,0.15,1,12,176.24,3,0.05,1
1,investments,3.84,0.3846,0.2,0,12,176.24,9,0.3,0
1,fuel,80.1,0.7312,0.4,1,12,176.24,7,0.45,1
2,food,1173.66,0.9094,0.45,0,24,16807.36,1,0.5,0
2,groceries,276.07,1.2738,0.3,0,24,16807.36,2,0.15,0
2,transport,269.31,1.0847,0.35,0,24,16807.36,4,0.4,0
2,shopping,309.19,0.9416,0.6,1,24,16807.36,5,0.9,2
2,entertainment,100.13,0.7241,0.65,0,24,16807.36,8,1.0,1
2,utilities,125.06,0.8833,0.25,0,24,16807.36,3,0.1,0
2,healthcare,23.82,0.7221,0.15,0,24,16807.36,7,0.05,0
2,investments,9.38,0.7857,0.2,1,24,16807.36,9,0.3,1
2,fuel,136.54,0.9008,0.4,1,24,16807.36,6,0.45,1
3,food,1144.57,1.033,0.45,1,3,2196.59,1,0.5,1
3,groceries,22.41,0.5139,0.3,1,3,2196.59,4,0.15,1
3,transport,159.63,0.6899,0.35,0,3,2196.59,5,0.4,0
3,shopping,325.36,1.0898,0.6,0,3,2196.59,5,0.9,1
3,entertainment,113.45,0.9307,0.65,0,3,2196.59,7,1.0,1
3,utilities,69.02,1.0605,0.25,1,3,2196.59,2,0.1,1
3,healthcare,40.56,1.0216,0.15,0,3,2196.59,3,0.05,0
3,investments,2.67,0.5385,0.2,0,3,2196.59,9,0.3,0
3,fuel,32.56,0.2613,0.4,1,3,2196.59,8,0.45,1
4,food,1105.1,0.6825,0.45,1,18,10569.62,1,0.5,1
4,groceries,93.42,0.7859,0.3,0,18,10569.62,3,0.15,0
4,transport,227.36,0.7416,0.35,1,18,10569.62,6,0.4,1
4,shopping,607.35,1.3837,0.6,0,18,10569.62,5,0.9,1
4,entertainment,259.38,1.4307,0.65,1,18,10569.62,8,1.0,2
4,utilities,181.12,1.0476,0.25,0,18,10569.62,2,0.1,0
4,healthcare,99.9,0.9579,0.15,0,18,10569.62,4,0.05,0
4,investments,32.19,1.3462,0.2,1,18,10569.62,9,0.3,1
4,fuel,142.74,0.902,0.4,0,18,10569.62,7,0.45,0
5,food,1274.07,1.1337,0.45,0,6,12824.71,1,0.5,0
5,groceries,172.78,1.2815,0.3,0,6,12824.71,2,0.15,0
5,transport,183.07,0.89,0.35,1,6,12824.71,4,0.4,1
5,shopping,123.88,0.5252,0.6,0,6,12824.71,7,0.9,1
5,entertainment,156.48,1.3842,0.65,1,6,12824.71,6,1.0,2
5,utilities,100.53,0.9744,0.25,1,6,12824.71,3,0.1,1
5,healthcare,17.35,0.6377,0.15,1,6,12824.71,8,0.05,1
5,investments,45.52,1.873,0.2,0,6,12824.71,9,0.3,0
5,fuel,87.89,0.9822,0.4,0,6,12824.71,5,0.45,0
6,food,930.6,1.0265,0.45,0,12,182.18,1,0.5,0
6,groceries,84.45,1.0285,0.3,0,12,182.18,4,0.15,0
6,transport,330.94,1.2093,0.35,1,12,182.18,5,0.4,1
6,shopping,124.69,0.549,0.6,1,12,182.18,6,0.9,2
6,entertainment,64.13,0.6733,0.65,1,12,182.18,7,1.0,2
6,utilities,94.87,0.9279,0.25,1,12,182.18,3,0.1,1
6,healthcare,308.95,1.7916,0.15,0,12,182.18,2,0.05,0
6,investments,5.63,0.6154,0.2,0,12,182.18,9,0.3,0
6,fuel,22.75,0.2487,0.4,0,12,182.18,8,0.45,0
7,food,1155.45,1.0009,0.45,0,24,16829.3,1,0.5,0
7,groceries,247.8,1.1219,0.3,0,24,16829.3,3,0.15,0
7,transport,465.93,1.3856,0.35,0,24,16829.3,4,0.4,0
7,shopping,267.25,0.8048,0.6,1,24,16829.3,5,0.9,2
7,entertainment,221.21,1.4384,0.65,1,24,16829.3,8,1.0,2
7,utilities,122.53,0.9076,0.25,1,24,16829.3,2,0.1,1
7,healthcare,33.63,0.9355,0.15,0,24,16829.3,6,0.05,0
7,investments,15.0,1.0556,0.2,1,24,16829.3,9,0.3,1
7,fuel,89.02,0.7481,0.4,1,24,16829.3,7,0.45,1
8,food,2842.92,1.2949,0.45,0,3,2953.85,1,0.5,1
8,groceries,146.15,1.0521,0.3,1,3,2953.85,3,0.15,1
8,transport,309.47,0.9535,0.35,1,3,2953.85,4,0.4,1
8,shopping,339.59,0.8694,0.6,1,3,2953.85,6,0.9,2
8,entertainment,348.04,1.6188,0.65,1,3,2953.85,7,1.0,2
8,utilities,388.17,1.1578,0.25,0,3,2953.85,2,0.1,0
8,healthcare,62.6,0.6129,0.15,0,3,2953.85,5,0.05,0
8,investments,8.24,0.5462,0.2,0,3,2953.85,8,0.3,0
8,fuel,20.91,0.1256,0.4,0,3,2953.85,9,0.45,0
9,food,945.45,0.9087,0.45,1,18,7979.11,1,0.5,1
9,groceries,62.06,0.8052,0.3,0,18,7979.11,4,0.15,0
9,transport,208.61,0.9922,0.35,1,18,7979.11,5,0.4,1
9,shopping,263.21,1.0918,0.6,1,18,7979.11,6,0.9,2
9,entertainment,136.92,1.1188,0.65,1,18,7979.11,7,1.0,2
9,utilities,211.9,1.1027,0.25,0,18,7979.11,2,0.1,0
9,healthcare,172.54,1.4928,0.15,0,18,7979.11,3,0.05,0
9,investments,6.31,0.7154,0.2,1,18,7979.11,8,0.3,1
9,fuel,13.92,0.1256,0.4,0,18,7979.11,9,0.45,0
10,food,1033.93,1.009,0.45,1,6,14770.05,1,0.5,1
10,groceries,84.75,0.8984,0.3,0,6,14770.05,3,0.15,0
10,transport,210.02,0.863,0.35,1,6,14770.05,5,0.4,1
10,shopping,248.88,0.9143,0.6,1,6,14770.05,7,0.9,2
10,entertainment,78.88,0.7079,0.65,1,6,14770.05,8,1.0,2
10,utilities,118.1,1.0211,0.25,0,6,14770.05,2,0.1,0
10,healthcare,65.11,0.9148,0.15,0,6,14770.05,4,0.05,0
10,investments,4.52,0.4462,0.2,1,6,14770.05,9,0.3,1
10,fuel,177.11,1.1759,0.4,1,6,14770.05,6,0.45,1
